	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
222	LUSC	2fe2433b-9a55-431f-a869-2b5a63e8e8fc	1.2595635600492808e-05	2.0714286418343756e-05
223	LUSC	34881c6b-f59f-42c0-9f29-9c5c47262ae6	1.7186568202541588e-05	2.5103414217428746e-05
224	LUSC	369c06f2-8904-49cb-99d1-dd297ed0cd0c	1.606826410717073e-05	1.9629737433177363e-05
225	LUSC	387c6519-6529-4074-a5ab-00f8052a5732	4.708648822614133e-06	1.616337506898533e-05
226	LUSC	43aa4123-0fe2-4071-8a81-cbdd0410b917	4.5909326020487805e-06	8.58052014783577e-06
227	LUSC	448af8b4-e071-48b0-a65b-b4ad17afdc0c	5.709236697419637e-06	1.1939026811845513e-05
228	LUSC	45e16b70-c3ec-493e-86d1-505ffdf5056c	2.3307811671939962e-05	4.473015565893438e-05
229	LUSC	48f68f73-3ac0-44ac-ba12-b8889fcb7f38	3.5903447272432766e-06	9.979648258533852e-06
230	LUSC	4c2ad4a0-5d57-4e27-9f35-058b2f205f50	2.8134176715119448e-05	3.331243139796995e-05
231	LUSC	4c3840df-9824-40db-879e-6d24adc8c155	9.181865204097561e-06	1.878786377342113e-05
232	LUSC	504d4cb0-d2dd-420d-82e6-9ec14434a0fc	1.0123594968620388e-05	1.9372082149408553e-05
233	LUSC	649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	8.063561108726704e-06	2.139737251949828e-05
234	LUSC	692dfa4f-45e5-4183-b5da-6650a1fbcabd	1.4655669460386491e-05	2.294030823043942e-05
235	LUSC	6962bc97-fbb8-4220-a600-e3c251e245cb	1.094760851257786e-05	1.9003575173785716e-05
236	LUSC	706868b5-4920-433a-bea3-92e9bf83059b	1.1771622056535334e-05	2.2002562837187813e-05
237	LUSC	71a2b4a2-88dd-4911-a67e-70b3309c4a12	7.298405675051907e-06	1.566604045147809e-05
238	LUSC	7731ef7f-25bd-42f5-9a20-be249306a711	3.131251467038399e-05	3.3477210939915124e-05
239	LUSC	79eb7bba-f0d8-462c-add7-20a2fb7843e1	9.53501386579362e-06	1.705318459548925e-05
240	LUSC	7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	2.3484386002787992e-05	4.095520615255412e-05
241	LUSC	7dc5f8ba-0080-43d3-8426-bd527a970761	9.299581424662914e-06	1.4063184907102343e-05
